Mean agg res stats

Work Time Stat.0  ; Total work time                         ; 112:46:9
Work Time Stat.1  ; Effective weighted work time planned    ; 111:41:32
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 18:41:32
Work Time Stat.4  ; Supp time planned                       ; 2:36:55
Work Time Stat.5  ; Supp time allowed                       ; 20:0:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:4:36
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 35:32:18
Work Time Stat.11 ; Effective work time planned             ; 111:41:32
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; 1:18:27

Pref Weekend.0 ; In weekend count                           ; 0.85
Pref Weekend.1 ; Off weekend count                          ; 2.31
Pref Weekend.2 ; Cut weekend count                          ; 0.69
Pref Weekend.3 ; Worked weekend count                       ; 1.54
Pref Weekend.4 ; Worked Sunday count                        ; 1.08
Pref Weekend.5 ; Off Sunday count                           ; 2.92
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.77
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.77

Work Period Stat.1.1 ; Work periods number                  ; 4.15
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.38
Work Period Stat.1.4 ; Work period mean length              ; 3.37
Work Period Stat.2.1 ; Day work periods number              ; 3.31
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.38
Work Period Stat.2.4 ; Day work period mean length          ; 3.58
Work Period Stat.3.1 ; Night work periods number            ; 0.85
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.23
Work Period Stat.3.4 ; Night work period mean length        ; 2.55
Work Period Stat.4.1 ; Night activity number                ; 2.15
Work Period Stat.4.2 ; Day activity number                  ; 11.85
Work Period Stat.4.3 ; Total activity number                ; 14.00
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 4.31
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.31
Rest Period Stat.3 ; Mean length                            ; 2.23
Rest Period Stat.4 ; Rest number                            ; 9.62
Rest Period Stat.5 ; Isolated rest period nb                ; 0.31

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 13.62
Activity Stat.2  ; Assimilated work activity number         ; 0.15
Activity Stat.3  ; Different activity number                ; 2.15
Activity Stat.4  ; Planned leave number                     ; 2.00
Activity Stat.5  ; Unplanned leave number                   ; 4.62
Activity Stat.6  ; Leave number                             ; 6.62
Activity Stat.7  ; Activity change number                   ; 0.54
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 4.62
Activity Stat.8  ; Activity 'FC' occurrence nb              ; 0.15
Activity Stat.8  ; Activity 'J1' occurrence nb              ; 1.69
Activity Stat.8  ; Activity 'J2' occurrence nb              ; 1.54
Activity Stat.8  ; Activity 'M' occurrence nb              ; 4.38
Activity Stat.8  ; Activity 'N' occurrence nb              ; 2.23
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 9.62
Activity Stat.8  ; Activity 'S' occurrence nb              ; 3.77

Office Stat.0 ; Different office nb                                   ; 1.38
Office Stat.1 ; Office 'hopital de jour' occurrence nb        ; 3.23
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 10.38
Office Stat.3 ; Office change number                                  ; 0.46

Mean agg day res stats

Work Time Stat.0  ; Total work time                         ; 107:49:5
Work Time Stat.1  ; Effective weighted work time planned    ; 106:32:43
Work Time Stat.2  ; Initial available time                  ; 147:0:0
Work Time Stat.3  ; Remaining available time                ; 17:10:54
Work Time Stat.4  ; Supp time planned                       ; 2:49:5
Work Time Stat.5  ; Supp time allowed                       ; 20:0:0
Work Time Stat.6  ; Contract time                           ; 147:0:0
Work Time Stat.7  ; Assimilated work time                   ; 1:16:21
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 42:0:0
Work Time Stat.11 ; Effective work time planned             ; 106:32:43
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; 2:49:5

Pref Weekend.0 ; In weekend count                           ; 0.73
Pref Weekend.1 ; Off weekend count                          ; 2.64
Pref Weekend.2 ; Cut weekend count                          ; 0.64
Pref Weekend.3 ; Worked weekend count                       ; 1.36
Pref Weekend.4 ; Worked Sunday count                        ; 0.91
Pref Weekend.5 ; Off Sunday count                           ; 3.09
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.91
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.91

Work Period Stat.1.1 ; Work periods number                  ; 3.91
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.45
Work Period Stat.1.4 ; Work period mean length              ; 3.58
